PageName,URL,HierarchyLevel,HierarchySub,FocusKeyphrase,SEOTitle,SEOTitle_CharCount,MetaDescription,MetaDescription_CharCount,PageTitle_H1,PrimaryKeywords,SecondaryKeywords,PageDescription_H2_Other,LatentKeywords,SchemaType,GeoTargets,HeroImageAltText,NextImageAltText
GEO Knowledge Node,/knowledge-hub/geo,L2,Knowledge,Geo and SEO,GEO and SEO: Local Discovery Matrix | AEObility,52,Advanced techniques balancing localized map rankings and systemic generative visibility rules without triggering focus dilution gaps.,135,GEO and SEO: Merging Local Signals with AI Search,geo and seo\ngeo vs seo\ngeoseo,geo vs seo meaning\ngeo content examples\ngeo structured data requirements,Resolving Map Pack vs LLM Discovery Friction;Structuring Multi-Location Brand Identity;GEO Content Pattern Blueprints,"hyper-local coordinate matrices, cross-node referencing, proximity signals, area served graphs","Article, FAQPage",Australia,Digital interface overlay measuring regional grid parameters and local coordinate listings,Flow chart mapping an inbound geo-query parsing through both local map indices and dense LLM sets
About Us,/about,L1,Root,Digital Marketing Specialist Perth,About Us: Automation Consultants & Architects | AEObility,50,"Meet the technical architects behind AEObility. Over 15 years engineering custom code, business automations, and AEO systems in Perth.",135,Digital Marketing Specialists in Perth,digital marketing specialist perth\nautomation consultant western australia\ndata structured content agency,technical marketing architect\njargon free optimization specialist\naustralian marketing experts,Our Core Engineering Background;Eliminating Costly Agency Complexity;Our Commitment to Data Integrity,"corporate entity verification, clear background credentials, professional framework proof, tech architecture","Organization, LocalBusiness","Australia, Western Australia, Perth",Modern Australian team office workspace featuring smart displays and digital tracking screens,Portrait layout frame highlighting official developer certifications and workspace tokens
Contact & Support,/contact,L1,Root,AEO Consultant Perth,Contact an Expert AEO Consultant in Perth | AEObility,50,Get in touch to review your visibility performance. Submit questions about our technical sprints or book a review call for your $995 audit.,135,Let's Talk Strategy. No Jargon. No Pressure.,aeo consultant perth\naeo consultant\naeo marketers near me,book a digital marketing consultation\nsmall business optimization support\naeobility contact information,Submit Your Operational Questions;What Happens on Your Discovery Strategy Call;Our Location Profile,"direct routing inquiry form, responsive implementation support, coordinate office data, consultation window",LocalBusiness,"Australia, Western Australia, Perth",Clean clean communications station mock-up displaying real-time responsive client calendar tools,Map pinpoint layout highlighting office coordinates and operational business hours windows
Privacy Policy,/privacy,L1,Root/Footer,Privacy Policy,Privacy Policy | AEObility Australia,37,"Read the AEObility privacy policy to understand how we securely collect, use, and protect your personal information across our digital platforms.",144,Privacy Policy,"Privacy Policy, Data Protection","AEObility privacy, personal data",How We Handle Your Data,"Security, cookies, compliance, GDPR, terms",WebPage,Australia,AEObility privacy lock icon,Document showing secure data practices
Terms of Service,/terms,L1,Root/Footer,Terms of Service,Terms of Service | AEObility Australia,38,"Review the terms of service for AEObility. Learn about our service agreements, AI search marketing terms, and standard client policies.",135,Terms of Service,"Terms of Service, User Agreement","AEObility terms, service terms",Client Agreements & Policies,"Contract, legal, liability, usage rights",WebPage,Australia,AEObility terms and conditions document,Handshake representing client agreement
Freelance Digital Specialist Perth,/about/freelance-digital-specialist-perth,L2,About Sub,Freelance Digital Specialist Perth,Freelance Digital Specialist Perth | AEObility,46,"Looking for a freelance digital specialist in Perth? AEObility provides expert digital marketing, SEO, and AI search strategies for WA businesses.",154,Freelance Digital Specialist in Perth,Freelance digital specialist Perth,Digital marketing consultant Perth,Expert Digital Strategy for WA,"Online presence, ROI, analytics, lead generation",ProfilePage,"Perth, WA",Freelance digital specialist working on laptop in Perth,Growth chart showing digital success
Freelance SEO Consultant Perth,/about/freelance-seo-consultant-perth,L2,About Sub,Freelance SEO Consultant Perth,Freelance SEO Consultant Perth | Expert Local SEO,49,"Boost your search rankings with a freelance SEO consultant in Perth. We specialize in local search, technical SEO, and AI search engine optimization.",151,Freelance SEO Consultant Perth,Freelance SEO consultant Perth,"Perth SEO expert, local SEO WA",Dominating Local & AI Search,"Backlinks, organic traffic, technical SEO, SERP",ProfilePage,"Perth, WA",SEO consultant analyzing search rankings,Local maps search results for Perth
Freelance Google Ads Consultant Perth,/about/freelance-google-ads-consultant-perth,L2,About Sub,Freelance Google Ads Consultant Perth,Freelance Google Ads Consultant Perth | PPC Expert,50,"Maximize your ROI with a freelance Google Ads consultant in Perth. We offer expert PPC management, campaign optimization, and targeted lead generation.",151,Freelance Google Ads Consultant Perth,Freelance Google Ads Perth,"PPC consultant Perth, AdWords WA",Maximizing Ad Spend ROI,"CPC, conversion tracking, bidding, search network",ProfilePage,"Perth, WA",Google Ads dashboard showing high ROI,Paid search campaign metrics
Freelance AI Consultant Perth,/about/freelance-ai-consultant-perth,L2,About Sub,Freelance AI Consultant Perth,Freelance AI Consultant Perth | AI Search Strategy,50,"Future-proof your brand with a freelance AI consultant in Perth. We optimize your business for AI search engines like ChatGPT, Perplexity, and Gemini.",152,Freelance AI Consultant Perth,Freelance AI consultant Perth,AI search optimization Perth,Future-Proofing with AI Search,"Generative AI, LLMs, ChatGPT, Perplexity, prompt",ProfilePage,"Perth, WA",AI search network visualization,Generative AI answering a user query
Vince Baker,/vince-baker,L1,Root,Vince Baker,Vince Baker | Founder & Digital Specialist | AEObility,54,"Meet Vince Baker, founder of AEObility. Discover his expertise in AI search marketing, SEO, and crafting digital strategies for Australian businesses.",152,Meet Vince Baker,"Vince Baker, Vince Baker AEObility","Founder AEObility, digital expert",The Vision Behind AEObility,"Leadership, consulting, strategy, experience",Person,Australia,"Portrait of Vince Baker, AEObility Founder",Vince Baker speaking at a digital marketing event
Support,/support,L1,Root,AEObility Support,Client Support & Contact Information | AEObility,47,"Need help with your AI search strategy? Contact AEObility support for assistance, project inquiries, and customer service for your Australian business.",153,Support & Contact,"AEObility support, contact AEObility","Customer service, AI search help",How Can We Assist You Today?,"Helpdesk, email, phone, inquiry form, FAQ",ContactPage,Australia,Friendly support representative assisting a client,Contact form on modern device
AEO Procedures,/services/aeo/procedures,L3,Service Sub,AEO Procedures,Answer Engine Optimization (AEO) Procedures | AEObility,55,Learn our comprehensive Answer Engine Optimization procedures. See how AEObility systematically optimizes content for AI search engines and assistants.,151,AEO Procedures & Implementation,"AEO procedures, AEO strategy","AI search processes, optimization steps",Step-by-Step AI Optimization,"Information retrieval, entities, citations, schema",Service,Global/AU,Diagram of AEObility's AEO procedure flow,Optimization checklist for AI search
AEO Constraints,/services/aeo/constraints,L3,Service Sub,AEO Constraints,Answer Engine Optimization (AEO) Constraints & Limits,53,Understand the current constraints and limitations of Answer Engine Optimization (AEO). Discover how to navigate AI search challenges effectively today.,152,Understanding AEO Constraints,"AEO constraints, AI search limits","AEO challenges, LLM limitations",Navigating the Limits of AI Search,"Hallucinations, data cutoff, algorithm updates",WebPage,Global/AU,Shield icon representing AEO guardrails and limits,Comparison of traditional SEO vs AEO limitations
AEO Costs & Timing,/services/aeo/costs-timing,L3,Service Sub,AEO Costs & Timing,AEO Costs & Timing | AI Search Optimization Pricing,51,"Get transparent information on AEO costs and timing. Discover AEObility's optimization pricing packages, milestones, and timelines for search visibility.",155,AEO Costs & Project Timing,"AEO costs, AEO pricing","AI search timing, project milestones",Investment & Timeline Expectations,"Budget, ROI, project phases, deliverables, reporting",ItemList,Australia,Calendar and budget chart for AEO timing,Pricing tier breakdown for AEO services
Case Studies,/knowledge-hub/case-studies,L2,Knowledge,AI Search Case Studies,AI Search & SEO Case Studies | AEObility Successes,50,"Read our case studies to see how AEObility helps Australian businesses improve their AI search visibility, traffic, and leads through expert strategies.",154,Case Studies & Success Stories,"AI search case studies, SEO results","AEObility portfolio, client success",Real Results for Aussie Businesses,"Metrics, growth, traffic increase, lead generation",CollectionPage,Australia,Dashboard showing traffic growth across multiple clients,Collection of AEObility client success stories
Case Study: Baby Bento,/knowledge-hub/case-studies/baby-bento,L3,Knowledge Sub,Baby Bento Case Study,Case Study: Baby Bento AI Search Visibility | AEObility,55,Discover how AEObility transformed Baby Bento's digital presence. Read the complete case study on our successful SEO and AI search marketing campaigns.,153,Case Study: Boosting Visibility for Baby Bento,"Baby Bento case study, Baby Bento SEO","E-commerce AEO, organic growth study",The Challenge and The Solution,"Retail SEO, organic traffic, SERP dominance, conversion",Article,Australia,Baby Bento website displayed on a tablet,Chart highlighting Baby Bento's organic traffic surge
Shopify AEO Services,/services/aeo/shopify,L3,Service Sub,Shopify AEO Services,Shopify AEO Services & Structured Feeds | AEObility,51,"Optimize your Shopify store for AI search, ChatGPT recommendations, and Google Merchant Center. Structured liquid refactoring and server-side rules.",148,Shopify AEO & E-commerce Ingestion Architecture,,,Restructuring Shopify Liquid; Google Merchant Center Feed Optimization; Server-Side Conversion Integrity,,"Service, FAQPage",,,
Local Business Visibility,/services/aeo/local-business,L3,Service Sub,Local Business Visibility,Local Business Visibility across Maps & AI Search,49,"Ensure your local service business surfaces instantly in local map packs, AI assistants, and proximity engines. Built for Aussie trades and clinics.",148,Local Business Visibility: GEO & AI Search System,,,Dominating local map packs; optimizing for voice/proximity engines; clear entity signals for local trades,,,,,
AEO vs SEO Guide,/knowledge-hub/articles/aeo-vs-seo,L3,Knowledge Sub,AEO vs SEO,AEO vs SEO: Why Entity Authority Beats Traditional SEO,52,"Learn how AEO (AI Engine Optimisation) differs from traditional SEO, why entity authority matters, and how brands can future‑proof visibility in AI search.",158,AEO vs SEO Explained,"AEO, SEO, Entity Authority, AI Search","Semantic search, Knowledge Graphs, Brand Signals","A clear guide comparing AEO and SEO, showing how entity authority drives visibility in AI‑powered search.","AI search optimisation, structured data, brand identity signals",Article,Australia,Illustration showing AEO vs SEO comparison,Diagram of entity authority signals
AI Search Optimisation,/knowledge-hub/articles/retrieval-augmented-generation,L3,Knowledge Sub,AI Search Optimisation,AI Search Optimisation with Retrieval‑Augmented Generation (RAG),63,"Understand how Retrieval‑Augmented Generation improves AI search accuracy, reduces hallucinations, and strengthens brand visibility across AI engines.",154,AI Search Optimisation,"RAG, AI Search, Retrieval‑Augmented Generation","Vector search, embeddings, content retrieval",A practical explainer on how RAG enhances AI search reliability and brand discoverability.,"LLM optimisation, structured retrieval, semantic relevance",Article,Australia,Hero graphic showing RAG pipeline,Diagram of retrieval + generation workflow
Entity Authority Guide,/knowledge-hub/articles/entity-authority-building,L3,Knowledge Sub,Entity Authority Guide,Entity Authority: Why AI Search Ranks Entities Not Pages,58,"Learn how entity authority building strengthens semantic search visibility, improves Answer Engine Optimisation and helps AI systems recognise and recommend your business.",160,Entity Authority & AEO,"Entity Authority, AEO, AI Search","Knowledge Graphs, Entity Signals, Semantic Search",A complete guide explaining why AI search ranks entities instead of keyword pages.,"Identity signals, semantic relevance, external validation, knowledge graph consistency",Article,Australia,Illustration showing Entity Authority Graph,Diagram of knowledge graph node relationships
Positional Bias in Retrieval Guide,/knowledge-hub/articles/positional-bias-in-retrieval,L3,Knowledge Sub,Positional Bias in Retrieval,What Is Positional Bias in Retrieval and Answer Engines? | AEObility,66,"Learn what positional bias is in AI search and LLMs, how retrieval and synthesis bottlenecks affect search visibility, and how to engineer content using the Positional Bias Audit Checklist.",183,What Is Positional Bias in Retrieval and Answer Engines?,"positional bias in retrieval, positional bias ai search, lost in the middle llm","retrieval bottleneck, synthesis bottleneck, atomic answer block, positional bias audit checklist","Why Positional Bias Matters for Australian Businesses; The Two Bottlenecks Behind Positional Bias; How to Engineer Content Around Positional Bias; The Positional Bias Audit Checklist","dense retrieval, context window, primacy bias, recency bias, atomic answer blocks, token budget",Article,Australia,High-tech vector retrieval architecture diagram illustrating positional bias in AI search engines and LLMs,Diagram showing primacy and recency spikes and lost in the middle context dilution curve
Semantic SEO vs AEO,/knowledge-hub/semantic-seo,L3,Knowledge Sub,Semantic SEO,Semantic SEO vs Answer Engine Optimisation | AEObility,52,"While Semantic SEO maps entities for traditional search visibility, AEO structures those entities into deterministic, machine-readable blocks optimized for multi-modal synthesis engines.",165,Semantic SEO vs Answer Engine Optimisation,"Semantic SEO, AEO, AI Search","machine-readable blocks, multi-modal synthesis",Difference Between Semantic SEO and AEO,"entity mapping, multi-modal synthesis, deterministic blocks",Article,Australia,Comparison of Semantic SEO and AEO data structures,Diagram comparing entity graphs vs machine readable answer blocks
Positional Bias Mitigation,/knowledge-hub/articles/positional-bias-in-retrieval,L3,Knowledge Sub,Positional Bias,Mitigating Positional Bias in Large Language Models | AEObility,60,"LLMs exhibit severe recency and primacy bias when parsing search context. AEObility mitigates this by embedding hyper-clear canonical fact blocks at both the head and tail of our document schemas.",180,Mitigating Positional Bias in Large Language Models,"Positional Bias, LLM Primacy, Context Window","canonical fact blocks, document schemas",Mitigating Context Dilution and Primacy Bias,"primacy bias, recency bias, context dilution, canonical facts",Article,Australia,Diagram showing LLM primacy and recency bias mitigation,Flowchart of head and tail canonical fact block embedding
AI Visibility Telemetry,/knowledge-hub/structured-data-query-fan-out,L3,Knowledge Sub,AI Visibility Telemetry,AI Visibility Telemetry Frameworks | AEObility,45,"The proprietary algorithmic logging suite used by AEObility to track real-time citation share, model hallucination rates, and engine retrieval confidence across ChatGPT, Claude, and Perplexity.",180,AI Visibility Telemetry Frameworks,"AI Visibility Telemetry, Citation Share, Model Hallucination","engine retrieval confidence, ChatGPT, Claude, Perplexity",Real-Time AI Search Citation and Telemetry Suite,"citation share, model hallucination rates, retrieval confidence",TechArticle,Australia,Dashboard displaying live AI search telemetry metrics,Chart tracking citation share and retrieval confidence
Competitor Overlap & Semantic Dominance Framework,/knowledge-hub/articles/competitor-overlap-semantic-dominance-framework,L3,Knowledge Sub,competitor overlap semantic dominance framework,Competitor Overlap & Semantic Dominance Framework | AEObility,53,"Learn how AEObility evaluates competitor overlap, semantic dominance, and AI search readiness. Discover how your business compares to competitors and what to fix first.",165,Competitor Overlap & Semantic Dominance Framework,"competitor overlap\nsemantic dominance\nAI search readiness\nvector proximity\nRAG survival","entity authority\nstructured data completeness\nsemantic visibility\ncompetitor ingestion\nAI search diagnostics","AEObility's Competitor Overlap & Semantic Dominance Framework shows how clearly a business appears, is understood, and is selected across Search, Maps, and AI systems. It evaluates semantic proximity, competitor strength, entity clarity, and RAG survival to produce an actionable AI Search Readiness Score.","query fan-out, intent mapping, semantic space, cosine similarity, knowledge graph signals, local discovery strength, AI retrieval clarity","Article, HowTo","Australia, New Zealand",Diagram showing AEObility's Competitor Overlap & Semantic Dominance workflow,Vector space comparison between client content and competitors for a target intent
